name,price,image link,description
Clear Glass Beaker Water Pipe with Cartoon Art Design,49.17,20260220_154023.jpg,Clear glass beaker-style water pipe with cartoon art decal; includes removable bowl; tabletop display.
Cool Dog Sunglasses Ashtray Holder,10.84,20260220_154440.jpg,Novelty ashtray featuring a dog with sunglasses; tray compartment for ash and small items.
Rasta Silicone Hand Pipe with Black Stem,9.59,20260220_155033.jpg,Heat-resistant silicone hand pipe in red/yellow/green; curved black stem; portable and easy to clean.
Arya Papaya Cream Odor Eliminator Candle 8oz,16.97,20260220_155123.jpg,Scented candle labeled odor eliminator; Papaya Cream scent; 8 oz (227 g) tin.
Swisher Sweets Leaf Wraps Peach Brandy (3 Pack),2.38,20260220_155440.jpg,Tobacco leaf wraps; Peach Brandy flavor; pack of 3; nicotine warning on package.
Sandalwood Smoke Odor Exterminator Candle 13oz,9.85,20260220_155523.jpg,Smoke Odor Exterminator candle; Sandalwood scent; 13 oz jar with lid.
Mango Tanga Kong Wraps CBD+ Hemp Wraps (2 Wraps),4.14,20260220_155809.jpg,Hemp wraps with CBD+ branding; Mango Tanga flavor; 2 wraps per pouch.
Twisted Hemp Wraps California Dream (4 Wraps),8.76,20260220_155941.jpg,Twisted Hemp Wraps; California Dream; 4 wraps full width per pouch/box.
RAW Organic Hemp Rolling Papers 1 1/2 Size (25 Pack Box),5.86,20260220_160243.jpg,RAW Organic Hemp rolling papers; 1 1/2 size; 25 packs per box.
10000K Black Bull Male Enhancement Capsules Extra Strength,34.77,20260220_160650.jpg,Black Bull 10000K male enhancement supplements; extra strength; boxed packaging.
RAW Classic Pre-Rolled Cone 1 1/4 Size,6.11,20260220_161247.jpg,RAW Classic pre-rolled cone; 1 1/4 size; single cone.
5 Rollies Real Leaf Tubes 0.5g Each (5 Pack),15.6,20260220_161735.jpg,5 Rollies Real Leaf Tubes; tobacco-free; pre-rolled tubes; 0.5g each; includes humidity pack branding on box.
Green Glass Bottle Style Water Pipe with Bowl,58.54,20260220_162454.jpg,Bottle-style water pipe with green coating; includes removable glass bowl.
Yellow Glass Replacement Bowl Piece 14mm,22.3,20260220_162605.jpg,Amber/yellow glass replacement bowl piece; approx. 14mm joint.
Blink Torch Lighter White Carbon Style,25.49,20260220_162816.jpg,Butane torch lighter; Blink branding; white carbon-style finish; tabletop base.
Hunter Double Bullet Torch Lighter Gold Finish,18.59,20260220_163019.jpg,Novelty torch lighter shaped like double bullets; Hunter branding; metallic finish.
Blink Torch Lighter Red Carbon Style,22.8,20260220_163048.jpg,Butane torch lighter; Blink branding; red carbon-style finish; tabletop base.
Scorch Torch Lighter White & Green,30.78,20260220_163057.jpg,Butane torch lighter; Scorch branding; white/green body.
Ace Skull Design Refillable Lighter,37.11,20260220_163107.jpg,Refillable lighter with skull and playing-card 'A' design; pocket size.
Zen Superslim Menthol Filter Tips 200 Count,8.42,20260220_163131.jpg,Zen superslim filter tips; menthol; 200 filters per bag.
Zen Regular Filter Tips Menthol 200 Count,31.35,20260220_163141.jpg,Zen regular size menthol filter tips; approx. 200 filters per bag.
Gold Bar 999.9 Novelty Torch Lighter,35.47,20260220_163252.jpg,Gold bar styled refillable butane torch lighter; novelty design.
Gold Bar 999.9 Metallic Torch Lighter,43.52,20260220_163304.jpg,Metallic gold bar design refillable torch lighter; compact size.
Middle Finger Metal Torch Lighter Bronze Finish,27.56,20260220_163341.jpg,Novelty middle finger shaped refillable torch lighter; bronze metallic finish.
Rick & Morty Design Cube Grinder,26.14,20260220_163658.jpg,Cube-style herb grinder with colorful cartoon character print design.
Billionaire Majestic Grape Hemp Wraps,5.31,20260220_163700.jpg,Tobacco-free hemp wraps; Majestic Grape flavor; boxed packaging.
Billionaire Russian Cream Hemp Wraps,5.48,20260220_162315.jpg,Tobacco-free hemp wraps; Russian Cream flavor; premium box design.
Billionaire Milli Mango Hemp Wraps,5.28,20260220_162353.jpg,Tobacco-free hemp wraps; Milli Mango flavor; premium boxed wraps.
Cartoon Print Mini Water Pipe with Green Cap,98.28,20260220_162409.jpg,Compact water pipe with cartoon wrap design and removable glass bowl.
Billionaire Baldacci Black Hemp Wraps,4.61,20260220_162419.jpg,Private Reserve Baldacci Black tobacco-free hemp wraps; premium packaging.
Clear Glass Water Pipe with Black Neck,82.24,20260220_162438.jpg,Clear glass water pipe with black curved neck and removable bowl.
Amber Triple Chamber Glass Water Pipe,66.39,20260220_162443.jpg,Triple chamber glass water pipe with amber accents and side bowl.
Amber Glass Replacement Bowl 14mm,12.87,20260220_162502.jpg,Amber colored glass replacement bowl piece; approx. 14mm joint.
Billionaire Banana Cream Hemp Wraps (2 Wraps),3.75,20260220_162527.jpg,Banana Cream flavored tobacco-free hemp wraps; 2 wraps per pouch.
Amber Curved Handle Glass Bowl 14mm,22.33,20260220_162544.jpg,Amber glass bowl piece with curved side handle; approx. 14mm joint.
Green Heart Shape Glass Bowl 14mm,12.74,20260220_162601.jpg,Green heart-shaped glass replacement bowl; approx. 14mm fitting.
Yellow Swirl Glass Sherlock Water Pipe,75.84,20260220_162729.jpg,Hand-blown yellow glass sherlock-style water pipe with multicolor swirl accents.
Spotted Glass Character Water Pipe,48.26,20260220_162739.jpg,White and black spotted character-themed glass water pipe with curved neck.
